,Title,URL
932,Puzzle Adventure Blockle,/game/switch/puzzle-adventure-blockle
933,Puzzle Puppers,/game/switch/puzzle-puppers
934,Touhou Genso Wanderer Reloaded,/game/switch/touhou-genso-wanderer-reloaded
935,Oniken: Unstoppable Edition,/game/switch/oniken-unstoppable-edition
936,Another Lost Phone: Laura's Story,/game/switch/another-lost-phone-lauras-story
937,Ultrawings,/game/switch/ultrawings
938,Little Town Hero,/game/switch/little-town-hero
939,One More Dungeon,/game/switch/one-more-dungeon
940,Dustoff Heli Rescue 2,/game/switch/dustoff-heli-rescue-2
941,Mugsters,/game/switch/mugsters
942,Unexplored: Unlocked Edition,/game/switch/unexplored-unlocked-edition
943,Super Treasure Arena,/game/switch/super-treasure-arena
944,Deponia,/game/switch/deponia
945,Almost There: The Platformer,/game/switch/almost-there-the-platformer
946,Wonder Boy Returns Remix,/game/switch/wonder-boy-returns-remix
947,Damsel,/game/switch/damsel
948,Koral,/game/switch/koral
949,Trine 3: The Artifacts of Power,/game/switch/trine-3-the-artifacts-of-power
950,Townsmen,/game/switch/townsmen
951,RiME,/game/switch/rime
952,I Am The Hero,/game/switch/i-am-the-hero
953,YIIK: A Postmodern RPG,/game/switch/yiik-a-postmodern-rpg
954,Sleep Tight,/game/switch/sleep-tight
955,"I, Zombie",/game/switch/i-zombie
956,Snooker 19,/game/switch/snooker-19
957,InnerSpace,/game/switch/innerspace
958,The World Next Door,/game/switch/the-world-next-door
959,Penny-Punching Princess,/game/switch/penny-punching-princess
960,Slam Land,/game/switch/slam-land
961,All-Star Fruit Racing,/game/switch/all-star-fruit-racing
962,NBA Playgrounds,/game/switch/nba-playgrounds
963,Bendy and the Ink Machine,/game/switch/bendy-and-the-ink-machine
964,Lost in Harmony,/game/switch/lost-in-harmony
965,State of Mind,/game/switch/state-of-mind
966,BAFL: Brakes Are For Losers,/game/switch/bafl-brakes-are-for-losers
967,The Lost Child,/game/switch/the-lost-child
968,The Way Remastered,/game/switch/the-way-remastered
969,Samurai Defender: Ninja Warfare,/game/switch/samurai-defender-ninja-warfare
970,STAY,/game/switch/stay
971,Megaton Rainfall,/game/switch/megaton-rainfall
972,The Swindle,/game/switch/the-swindle
973,Kona,/game/switch/kona
974,Garage,/game/switch/garage
975,Sword Art Online: Fatal Bullet - Complete Edition,/game/switch/sword-art-online-fatal-bullet---complete-edition
976,The Low Road,/game/switch/the-low-road
977,Carcassonne,/game/switch/carcassonne
978,Surgeon Simulator CPR,/game/switch/surgeon-simulator-cpr
979,Mercenaries Wings: The False Phoenix,/game/switch/mercenaries-wings-the-false-phoenix
980,Etherborn,/game/switch/etherborn
981,Super Monkey Ball: Banana Blitz HD,/game/switch/super-monkey-ball-banana-blitz-hd
982,The Last Remnant Remastered,/game/switch/the-last-remnant-remastered
983,Super Bomberman R,/game/switch/super-bomberman-r
984,Sniper Elite V2 Remastered,/game/switch/sniper-elite-v2-remastered
985,Levels+ : Addictive Puzzle Game,/game/switch/levels+-addictive-puzzle-game
986,The Coma: Recut,/game/switch/the-coma-recut
987,SpellKeeper,/game/switch/spellkeeper
988,Atelier Lydie &amp; Suelle: The Alchemists and the Mysterious Paintings,/game/switch/atelier-lydie-suelle-the-alchemists-and-the-mysterious-paintings
989,American Fugitive,/game/switch/american-fugitive
990,Gal*Gun 2,/game/switch/galgun-2
